Drug,Pathway (ID/Name),Regulation (corrected),Effect (corrected),"Rationale (correct, baseline-focused)"
Anastrozole,KEGG_STEROID_HORMONE_BIOSYNTHESIS,Up,Sensitive,"Anastrozole directly inhibits aromatase (CYP19A1), reducing conversion of androgens→estrogens → decreased steroid biosynthesis flux and tumour estrogen supply."
Anastrozole,HALLMARK_PI3K_AKT_MTOR_SIGNALING,Up,Resistant,PI3K/AKT/mTOR activation provides ER-independent proliferative/survival signalling and is a common escape mechanism from estrogen deprivation; PI3K pathway activation correlates with AI resistance and combining PI3K/mTOR inhibitors can re-sensitize.
Anastrozole,KEGG_ERBB_SIGNALING_PATHWAY,Up,Resistant,"Upregulation or activation of RTKs (EGFR/HER2) stimulates downstream PI3K/MAPK signalling, bypassing ER blockade to support proliferation → associated with endocrine resistance."
Anastrozole,KEGG_MAPK_SIGNALING_PATHWAY,Up,Resistant,MAPK (RAS→RAF→MEK→ERK) downstream of RTKs can drive cell-cycle and survival independent of ER; MAPK activation is observed in AI-resistant models and mediates growth despite estrogen deprivation.
Anastrozole,HALLMARK_FATTY_ACID_METABOLISM,Up,Resistant,Anastrozole has been shown to increase FASN protein (via decreased ubiquitin-mediated degradation) in resistant models; high FASN correlates with worse outcome on anastrozole and can support growth/metabolic rewiring.
Anastrozole,HALLMARK_INTERFERON_GAMMA_RESPONSE,Up,Resistant,"Several studies show interferon-stimulated genes (ISGs) are constitutively upregulated in AI-resistant models (e.g., IFITM1, PLSCR1); in some contexts suppression of chronic ISG signalling can re-sensitize cells to estradiol-induced apoptosis. So IFN/ISG ↑ is associated with resistance biology in many reports — the relationship with immune activation is complex and context dependent."
Anastrozole,HALLMARK_IL6_JAK_STAT3_SIGNALING,Up,Resistant,"IL-6 / STAT3 signalling promotes survival, invasion and can reprogram ER enhancers; IL-6/STAT3 activation has been implicated in endocrine resistance and metastasis — elevated IL-6/JAK-STAT often correlates with poorer response to endocrine therapy."
Anastrozole,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Up,Resistant,NF-κB activity can be released when ER is inhibited (ER↔NFκB antagonism); NF-κB drives inflammatory/prosurvival genes and has been repeatedly linked to endocrine resistance.
Anastrozole,HALLMARK_E2F_TARGETS,Down,Sensitive,"Effective estrogen suppression causes G1 arrest (↓Cyclin D/CDK4/6 activity) → reduced E2F activity and S-phase gene expression (E2F targets fall). However, **E2F ↑ is a marker of"
Atezolizumab,HALLMARK_INTERFERON_GAMMA_RESPONSE,Up,Sensitive,"A high IFN-γ gene signature at baseline reflects a pre-existing antitumor immune response with increased MHC expression, chemokines and PD-L1 induction. Across tumors and in TNBC neoadjuvant/biomarker work, IFN-γ–related mRNA profiles predict better response to PD-1/PD-L1 blockade, including atezolizumab-containing regimens. (PMC)"
Atezolizumab,HALLMARK_ALLOGRAFT_REJECTION,Up,Sensitive,The “allograft rejection” set captures cytotoxic CD8⁺ T-cell/NK infiltration and Th1-type inflammation. Such T-cell-inflamed signatures correlate with higher response rates to PD-1/PD-L1 inhibitors and are incorporated into immune-related gene signatures predicting atezo benefit in TNBC. (AACR Journals)
Atezolizumab,WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE,Up,Sensitive,"Baseline activation of the PD-1/PD-L1 axis (especially PD-L1 expression on tumor-infiltrating immune cells) provides the pharmacologic target for atezolizumab. In IMpassion130, clinical benefit was restricted to PD-L1+ mTNBC, supporting that an “on” PD-1/PD-L1 pathway predicts sensitivity. (New England Journal of Medicine)"
Atezolizumab,HALLMARK_WNT_BETA_CATENIN_SIGNALING,Up,Resistant,"Tumor-intrinsic Wnt/β-catenin activation is linked to non-T-cell-inflamed, immune-excluded tumors with loss of dendritic-cell recruitment and poor CD8⁺ infiltration, leading to primary resistance to ICIs. Although much data are from melanoma and other cancers, this immune-excluded program is relevant to breast TNBC. (Frontiers)"
Atezolizumab,HALLMARK_TGF_BETA_SIGNALING,Up,Resistant,"High TGF-β and EMT signatures define an immune-excluded phenotype with dense stroma and peritumoral T-cell trapping. In atezolizumab-treated urothelial cancer and in TNBC biomarker studies, stromal TGF-β signaling is associated with poor response, while TGF-β blockade plus anti-PD-L1 restores intratumoral CD8⁺ T-cell infiltration and antitumor activity. (PMC)"
Atezolizumab,GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION,Down,Resistant,"Downregulation or loss of antigen processing/presentation (e.g., B2M, HLA-I, TAP defects, or JAK/IFN signaling mutations) prevents CD8⁺ T cells from recognizing tumor cells, causing primary or acquired resistance to PD-1/PD-L1 blockade irrespective of PD-L1 status. This mechanism is described across cancers and is relevant to breast. (New England Journal of Medicine)"
Atezolizumab,GOBP_REGULATION_OF_T_CELL_ACTIVATION,Up,Resistant,"High LAG-3 on intratumoral T cells marks deeper exhaustion; co-expression with PD-1 defines dysfunctional T cells that respond poorly to PD-1/PD-L1 blockade alone. Upregulation of LAG-3 after PD-1/PD-L1 therapy is a recognized adaptive resistance mechanism, motivating dual PD-1/LAG-3 blockade. (PMC)"
Atezolizumab,HALLMARK_PI3K_AKT_MTOR_SIGNALING,Up,Resistant,"PTEN loss and oncogenic PI3K/AKT/mTOR activation promote an immunosuppressive TME via reduced CD8⁺ T-cell infiltration and increased VEGF/cytokines. Across cancers (including breast/TNBC), PTEN/PI3K alterations are linked to poorer response to PD-1/PD-L1 blockade and are being targeted to re-sensitize tumors to ICIs. (MDPI)"
Atezolizumab,HALLMARK_HYPOXIA,Up,Resistant,"Hypoxia via HIF-1α drives VEGF-mediated abnormal vasculature, T-cell exclusion, recruitment of Tregs/MDSCs and PD-L1 upregulation on tumor and myeloid cells. High hypoxia signatures associate with immune-excluded, ICI-refractory tumors, including breast, and VEGF/HIF-1α targeting is being explored to improve PD-1/PD-L1 responses. (SpringerLink)"
Atezolizumab,KEGG_HOMOLOGOUS_RECOMBINATION,Down,Sensitive,"HRD/BRCA1/2-mutated and HRD-like TNBC have increased genomic instability, higher TMB and more neoantigens, which can favor T-cell infiltration and PD-L1 expression. Multiple reviews link DDR defects to improved ICI benefit, though responses are heterogeneous and depend on co-existing immune-suppressive programs. (PubMed)"
Atezolizumab,GOBP_KYNURENINE_METABOLIC_PROCESS,Up,Resistant,"IDO1 catabolizes tryptophan to kynurenine, suppressing T-cell proliferation and promoting Tregs and dysfunctional NK cells. High IDO1 expression is common in high-grade/TNBC and often co-expressed with PD-L1, contributing to resistance to PD-1/PD-L1 monotherapy; IDO1 inhibition (e.g., GDC-0919) has been combined with atezolizumab in early trials. (ScienceDirect)"
Atezolizumab,GOBP_REGULATION_OF_T_CELL_COSTIMULATION,Down,Resistant,"Effective CD8⁺ T-cell priming requires TCR plus CD28–CD80/86 co-stimulation and IL-2 signaling. In the absence of these signals (e.g., low CD80/86 on APCs, chronic CTLA-4 engagement, steroids), T cells become anergic or exhausted and cannot be fully re-activated by PD-L1 blockade alone, limiting atezo benefit even if PD-L1 is high. (PMC)"
Bevacizumab,KEGG_VEGF_SIGNALING_PATHWAY,Up,Sensitive,"Breast tumors with high VEGF-A expression, VEGFR2 and microvessel density are strongly dependent on pathological angiogenesis. Bevacizumab neutralizes VEGF-A, normalizes/prunes vessels and limits perfusion; trials and biomarker studies in HER2-negative MBC and neoadjuvant settings indicate tumors with greater vascular density/angiogenic gene signatures derive more benefit from bevacizumab-containing regimens."
Bevacizumab,HALLMARK_HYPOXIA,Up,Resistant,"High HIF-1α and hypoxia signatures in breast cancer correlate with VEGF expression, aggressive biology and poor prognosis. In refractory breast cancer, bevacizumab can induce acute hypoxia with secretion of pro-angiogenic and pro-invasive cytokines, leading to early progression. Tumors already hypoxic at baseline are primed for this HIF-driven escape, so bevacizumab is less effective."
Bevacizumab,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Up,Resistant,"EMT activation (loss of E-cadherin; upregulation of TWIST, SNAIL, vimentin) promotes invasion, metastasis and use of vessel co-option rather than sprouting angiogenesis. EMT-high breast tumors are less dependent on VEGF-driven neovascularization and more tolerant of hypoxia, so VEGF-A blockade with bevacizumab yields limited, often transient benefit and can select for more invasive clones."
Bevacizumab,REACTOME_SIGNALING_BY_NOTCH,Up,Resistant,"Notch (including DLL4–Notch) is a key regulator of tip/stalk endothelial cell fate and vessel maturation, and in tumor cells maintains stem-like properties. When Notch signaling is high at baseline, vessels and cancer stem cells can be supported in a relatively VEGF-independent manner. Anti-angiogenic resistance literature highlights Notch upregulation as a canonical escape pathway from VEGF blockade, implying bevacizumab will be less effective in Notch-high tumors (largely cross-cancer but mechanistically applicable to breast cancer)."
Bevacizumab,SMID_BREAST_CANCER_BASAL_UP,Up,Resistant,"Breast cancer stem-like cells (ALDH1^high, CD44^+/CD24^−, basal-like transcriptional programs) reside in hypoxic niches, exhibit high self-renewal, and are resistant to chemo- and radiotherapy. HIF-driven pathways promote the breast CSC phenotype. Tumors enriched in these populations at baseline can survive anti-angiogenic stress and re-seed the tumor after bevacizumab, leading to poor and short-lived responses."
Bevacizumab,PID_FGF_PATHWAY,Up,Resistant,"In breast cancer, particularly in obesity-associated disease, high baseline FGF2 and FGFR signaling provide an alternative pro-angiogenic axis. Clinical and preclinical work from Jain’s group shows obesity promotes resistance to anti-VEGF therapy via upregulation of IL-6 and FGF2; blocking IL-6 or FGF2 restores sensitivity. Thus, an FGF2/FGFR-high baseline indicates that angiogenesis can be sustained despite VEGF-A neutralization by bevacizumab."
Bevacizumab,REACTOME_TIE2_SIGNALING,Up,Resistant,"High baseline Ang2 and Tie2 (and Ang2^+ vessel density) in breast cancer correlate with lymph-node invasion, poorer survival and adverse outcomes in trials that included bevacizumab. Ang2 destabilizes vessels and recruits Tie2^+ macrophages, enabling vascular remodeling and immune suppression; persistent or rebound Ang2 undermines VEGF-A blockade. Thus, an Ang2/Tie2-high baseline is a marker of poor bevacizumab benefit."
Bevacizumab,REACTOME_SIGNALING_BY_MET,Up,Resistant,"c-MET activation in breast cancer stimulates MAPK, PI3K-AKT and STAT3, drives EMT and invasion, and is associated with poor prognosis. Resistance-mechanism reviews identify HGF/c-MET as a key bypass route in tumors resistant to anti-VEGF therapy: under hypoxia, MET signaling is further induced and supports invasive escape and alternative angiogenesis. Baseline MET-high tumors are therefore less likely to respond durably to bevacizumab."
Bevacizumab,HALLMARK_INTERFERON_GAMMA_RESPONSE,Up,Sensitive,"Breast tumors with high baseline TILs and T-cell inflammatory signatures (e.g., many TNBCs) can benefit from vascular normalization: bevacizumab transiently reduces Ang2^+ vasculature, lowers hypoxia and interstitial pressure, and markedly increases CD4⁺/CD8⁺ T-cell and mature dendritic-cell infiltration. This suggests a T-cell–inflamed baseline microenvironment is favorable for bevacizumab-mediated immune enhancement and synergy with chemotherapy or ICIs."
Bevacizumab,HALLMARK_IL6_JAK_STAT3_SIGNALING,Up,Resistant,"IL-6/STAT3 signaling drives a pro-angiogenic, immunosuppressive milieu through VEGF/FGF2 induction and recruitment of myeloid cells. In obesity-associated breast cancer, high baseline IL-6 and FGF2 levels were strongly associated with resistance to anti-VEGF therapy; IL-6 blockade normalized vessels and restored sensitivity in mouse models. Thus, an IL-6/STAT3-high baseline is a negative predictive factor for bevacizumab."
Bevacizumab,HALLMARK_ANGIOGENESIS,Up,Sensitive,"A high “angiogenesis” gene signature (e.g., VEGF, ANGPTL4, PECAM1, endothelial markers) at baseline indicates that tumor growth is tightly coupled to neovascularization. Breast cancer gene-expression studies and tissue-based angiogenesis markers show that angiogenesis-high tumors (high MVD/angiogenic profile) are more likely to benefit from bevacizumab-containing therapy than angiogenesis-low tumors."
Bevacizumab,REACTOME_SIGNALING_BY_PDGF,Down,Sensitive,"When alternative pro-angiogenic pathways (FGF2/FGFR, PDGFs, Ang2, PlGF) are low at baseline, VEGF-A is the dominant driver of angiogenesis. In this “VEGF-addicted but FGF/Ang2-quiet” setting, bevacizumab shuts down the main angiogenic axis and there are few bypass options, leading to better and more durable responses. This is essentially the inverse of biomarker profiles where high FGF2 or Ang2 predicts poor anti-VEGF benefit."
Capivasertib,HALLMARK_PI3K_AKT_MTOR_SIGNALING,Up,Sensitive,"HR+/HER2− metastatic breast cancers with PI3K/AKT1/PTEN alterations show greater benefit from capivasertib + fulvestrant vs fulvestrant alone; presurgical dosing shows strong pAKT and Ki-67 suppression in AKT-addicted ER+ tumours, consistent with oncogene addiction to this pathway."
Capivasertib,PID_FOXO_PATHWAY,Up,Sensitive,"In PIK3CA- or PTEN-altered ER+ models, capivasertib efficacy is FOXO3-dependent; FOXO3A deletion reduces response and is accompanied by FOXM1 upregulation, whereas preserved FOXO3 enables cell-cycle arrest and apoptosis after AKT inhibition."
Capivasertib,HALLMARK_E2F_TARGETS,Up,Resistant,"Long-term AKT inhibition (including capivasertib) induces FOXM1 upregulation; FOXM1 overexpression attenuates capivasertib’s anti-proliferative effects, while FOXM1 knockdown restores sensitivity, so high FOXM1/E2F/G2M programme marks cells that continue cycling under AKT blockade."
Capivasertib,KEGG_MAPK_SIGNALING_PATHWAY,Up,Resistant,"PI3K/AKT pathway inhibition frequently triggers feedback activation of RTKs and ERK, providing an alternative growth and survival route; elevated MAPK signatures or driver alterations decrease dependence on AKT and limit benefit from AKT inhibitors unless co-targeted."
Capivasertib,PID_PI3KCI_PATHWAY,Up,Resistant,"Breast cancer cell lines with high SGK1 show innate resistance to AKT inhibitors (including AZD5363/capivasertib); SGK1 knockdown selectively impairs growth of AKT-inhibitor-resistant cells, and SGK1 can maintain mTORC1 via TSC2 even when AKT is blocked."
Capivasertib,HALLMARK_MTORC1_SIGNALING,Up,Resistant,Short-term biomarker studies show that incomplete suppression of mTORC1 and translational output despite AKT inhibition is associated with weaker anti-proliferative effects; SGK1–TSC2–mTORC1 signalling can maintain protein synthesis independently of AKT.
Capivasertib,HALLMARK_ESTROGEN_RESPONSE_EARLY,Up,Sensitive,"Capivasertib trials are in ER+/HER2− disease where ER signalling is active at baseline; FAKTION and CAPItello-291 show improved PFS with capivasertib + fulvestrant, particularly in tumours harbouring PI3K/AKT1/PTEN alterations, consistent with ER-driven tumours relying on both ER and PI3K–AKT survival axes which can be co-targeted."
Capivasertib,HALLMARK_APOPTOSIS,Down,Resistant,FOXO3A loss-of-function in PIK3CA-altered ER+ models blunts capivasertib-induced cell-cycle arrest and apoptosis; low FOXO3 or impaired FOXO3 nuclear signalling removes the apoptotic execution arm required for effective killing by AKT inhibition.
Capivasertib,REACTOME_SIGNALING_BY_ERBB2,Down,Sensitive,"When MAPK/RTK pathways are low or co-targeted, tumours become more dependent on PI3K–AKT; preclinical breast models show enhanced anti-tumour activity with capivasertib plus anti-HER2 or MEK/RTK inhibitors, consistent with removal of bypass routes and greater vulnerability to AKT blockade."
Dostarlimab,REACTOME_CO_INHIBITION_BY_PD_1,Up,Sensitive,"In breast tumors where dostarlimab is considered (e.g. TNBC, dMMR, TMB-high), the PD-1/PD-L1 axis is typically engaged: PD-1 is expressed on exhausted TILs and PD-L1 on tumor and myeloid cells. Dostarlimab (anti-PD-1 IgG4) binds PD-1 and blocks PD-L1/PD-L2, releasing this inhibitory brake and restoring T-cell cytotoxicity. Baseline PD-L1 expression and TIL-rich TNBC are associated with benefit from PD-1/PD-L1 blockade."
Dostarlimab,KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,Up,Sensitive,"A functional, clonally expanded T-cell repertoire with active TCR signaling and costimulation (CD28, ICOS) underlies effective PD-1 blockade. TNBC and other immunogenic breast cancers with high TILs and T-cell–inflamed gene expression signatures respond better to PD-1/PD-L1 inhibitors than immune-cold tumors with poor T-cell infiltration or anergic T cells."
Dostarlimab,HALLMARK_INTERFERON_GAMMA_RESPONSE,Up,Sensitive,"An IFN-γ–driven microenvironment (e.g. upregulation of CXCL9/10, IDO1, HLA class I genes, STAT1 targets) defines “hot” tumors enriched for effector CD8⁺ T cells and is consistently associated with higher response rates to PD-1 blockade, including in TNBC treated with pembrolizumab or atezolizumab. Baseline IFN-γ signatures therefore support dostarlimab sensitivity."
Dostarlimab,KEGG_MEDICUS_REFERENCE_CGAS_STING_SIGNALING_PATHWAY,Up,Sensitive,"HRD/BRCA-mutated breast cancers accumulate cytosolic DNA, activating cGAS–STING and type-I IFN signaling, which recruits CD8⁺ T cells and promotes an inflamed TME. Preclinical BRCA-deficient TNBC models show that STING activation via DNA damage (e.g. PARP inhibitors) is critical for optimal antitumor immunity and improves response to PD-1/PD-L1 blockade. High cGAS–STING scores correlate with genomic instability and immune cell infiltration in BC."
Dostarlimab,GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I,Down,Resistant,"If baseline antigen presentation is lost, CD8⁺ T cells cannot recognize and kill tumor cells, even if PD-1 is blocked. Loss-of-function mutations in JAK1/2 or B2M and downregulation of HLA class I components are repeatedly linked to primary or acquired resistance to PD-1 blockade; these mechanisms are described across multiple tumor types and are relevant to breast cancers with low MHC-I expression."
Dostarlimab,HALLMARK_TGF_BETA_SIGNALING,Up,Resistant,"High TGF-β in tumor and stromal compartments promotes EMT, fibrosis, Treg and MDSC accumulation and a strongly immune-excluded phenotype. In preclinical breast cancer and pan-tumor data, TGF-β-high tumors show poor CD8⁺ T-cell penetration and limited benefit from PD-1/PD-L1 blockade; combining TGF-β inhibitors or TGF-β/PD-L1 bispecifics with ICIs can restore intratumoral T cells and antitumor activity."
Dostarlimab,HALLMARK_WNT_BETA_CATENIN_SIGNALING,Up,Resistant,"Activated WNT/β-catenin signaling in tumor cells suppresses recruitment/activation of dendritic cells and leads to non-T-cell-inflamed, CD8-poor TMEs. Across solid tumors, WNT/β-catenin activation correlates with immune exclusion and lack of benefit from ICIs; this mechanism likely contributes to immune-cold basal-like or luminal breast cancers with poor ICI responses."
Dostarlimab,HALLMARK_PI3K_AKT_MTOR_SIGNALING,Up,Resistant,"PTEN loss and PI3K–AKT–mTOR hyperactivation increase PD-L1 and immunosuppressive cytokines, reduce TIL infiltration and drive immune evasion. In TNBC and HR⁺/HER2⁻ breast cancer, PTEN loss is associated with poor prognosis and reduced sensitivity to checkpoint blockade; dual targeting of PI3K and PD-1/PD-L1 is being explored to overcome this resistance."
Dostarlimab,GOBP_TOLERANCE_INDUCTION_DEPENDENT_UPON_IMMUNE_RESPONSE,Up,Resistant,"HAVCR2 (TIM-3) is upregulated on chronically stimulated, exhausted CD8⁺ T cells and on Tregs in many tumors. During PD-1 therapy, TIM-3 expression often increases on PD-1-bound T cells via PI3K/AKT-dependent mechanisms, providing a compensatory inhibitory signal and mediating adaptive resistance to PD-1 blockade. High TIM-3 at baseline or on-treatment in breast-like immune-excluded TMEs is therefore a negative predictor for single-agent dostarlimab."
Dostarlimab,GOBP_L_TRYPTOPHAN_CATABOLIC_PROCESS_TO_KYNURENINE,Up,Resistant,"Tumor and myeloid IDO1 catabolize tryptophan to kynurenine, which suppresses effector T-cell and NK-cell function and promotes Treg differentiation. IDO1 expression is common in high-grade TNBC and frequently co-expressed with PD-L1, supporting an IDO-driven immunosuppressive state that blunts PD-1 blockade. High baseline IDO1 therefore predicts decreased sensitivity to single-agent dostarlimab, motivating IDO1 + PD-1 combination strategies."
Dostarlimab,REACTOME_INTERLEUKIN_10_SIGNALING,Up,Resistant,"Elevated IL-10 (often with TGF-β and other suppressive cytokines) promotes Treg expansion, MDSC function and suppression of antigen-presenting cells, maintaining a “cold” or immune-dysfunctional TME. Such cytokine-high tumors show attenuated benefit from PD-1/PD-L1 blockade; durable responses often require either re-programming of myeloid/cytokine networks or combination strategies."
Dostarlimab,KEGG_JAK_STAT_SIGNALING_PATHWAY,Down,Resistant,"Anti-PD-1–activated T cells depend on intact IFN-γ–JAK–STAT signaling in tumor cells to upregulate antigen presentation, chemokines and pro-apoptotic programs. Loss-of-function JAK1/2 or IFNγR mutations abolish tumor cell responsiveness to IFN-γ and have been directly linked to primary and acquired resistance to PD-1 blockade in melanoma and dMMR cancers; analogous defects would be expected to confer resistance to dostarlimab in breast tumors."
Elacestrant,HALLMARK_ESTROGEN_RESPONSE_EARLY,Up,Sensitive,"Elacestrant is an oral SERD that degrades ERα, suppresses ER-regulated transcription, and inhibits growth of ER+/HER2– cell lines and PDXs. Tumors with high baseline estrogen-response signatures (strong ER program, often including ESR1 mutations) remain ER-addicted and derive greater benefit when this program is shut down by elacestrant. EMERALD showed the largest PFS gain in ESR1-mutated, ER-driven tumors, consistent with Up estrogen-response → sensitivity."
Elacestrant,KEGG_MEDICUS_REFERENCE_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY,Up,Sensitive,This Reactome pathway represents canonical ER target-gene transcription. Elacestrant degrades ER and suppresses estrogen-dependent gene expression in vitro and in ER+ PDX models. Tumors with strong baseline activation of this pathway remain transcriptionally ER-dependent and are more likely to respond when elacestrant extinguishes this program.
